SIGUN_NM,SIGUN_CD,STATION_NM_INFO,STATION_ID,STATION_MANAGE_NO,STATION_DIV_NM,JURISD_INST_NM,LOCPLC_LOC,ENG_STATION_NM_INFO,WGS84_LOGT,WGS84_LAT
양주시,41630,가야3차아파트,235000269,39325,노변정류장,경기도 양주시,경기도 양주시 백석읍,Gaya Apartment 3-cha,126.9958833,37.7864333
양주시,41630,가야1차아파트,235000821,39315,노변정류장,경기도 양주시,경기도 양주시 백석읍,Gaya Apartment 1-cha,126.9937,37.7866667
안양시,41170,안양예술공원,208000042,9119,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Anyang Arts Park ,126.91465,37.4166667
안양시,41170,한마음선원.관악역이안아파트,208000040,9067,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Hanmaum Seonwon,126.90735,37.42265
안양시,41170,래미안메가트리아상가앞,208000252,9347,,,,,126.9307167,37.3969167
안양시,41170,고용노동부안양지청.명학자동차운전전문학원,208506480,,,,,,126.9384,37.38625
안양시,41170,고용노동부안양지청.명학자동차운전전문학원,208506490,,,,,,126.9384667,37.3861
안양시,41170,관악역,208000034,9082,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Gwanak Station ,126.90925,37.4199
안양시,41170,석수지구대,208000032,9135,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,Seoksu Police Precinct,126.918,37.4150167
안양시,41170,장애인복지회관,208000031,9142,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,Welfare Center for the Disabled,126.91965,37.41305
안양시,41170,대우아파트.양명고교,208000030,9149,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,"Daewoo Apartment, Yangmyung High School",126.92275,37.4071333
안양시,41170,대림대학,209000002,10001,노변정류장,경기도 안양시,경기도 안양시 동안구 비산동,Daelim University College,126.92815,37.4014
안양시,41170,경인교육대후문,208000028,9120,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Gyeongin National University of Education Back Gate,126.9151333,37.43245
안양시,41170,안양해솔학교,208000291,9118,노변정류장,경기도 안양시,,Anyang Haesol School ,126.9142333,37.4331
안양시,41170,정심여자정보산업고등학교,208000026,9121,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Jungsim Girls' Information Industry High School,126.9148833,37.42735
안양시,41170,삼막교,208000025,9111,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Sammakgyo Bridge,126.91305,37.4244833
안양시,41170,용강빌라,208000109,9023,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Yonggang Villa,126.8960333,37.4071
안양시,41170,코오롱하늘채(아),208000108,9031,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Kolon Haneulchae Apartment ,126.8988667,37.40755
안양시,41170,석수초등학교,208000107,9036,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Seogsu Elementary School ,126.9000667,37.40725
안양시,41170,석수아이파크,208000106,9043,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Seoksu I-Park Apartment,126.9023833,37.4062
안양시,41170,안양여중고,208000105,9131,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,Anyang Middle & High School,126.91735,37.40395
안양시,41170,럭키아파트,208000102,9070,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Lucky Apartment,126.9078,37.4085
안양시,41170,석수초등학교,208000100,9037,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Seogsu Elementary School ,126.9001333,37.40735
안양시,41170,코오롱하늘채(아),208000099,9032,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Kolon Haneulchae Apartment ,126.8987,37.4077
안양시,41170,용강빌라,208000098,9027,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Yonggang Villa,126.8964333,37.4073
안양시,41170,석수3동주민센터입구,208000097,9019,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Seoksu 3-dong Community Center,126.8951,37.4079167
안양시,41170,충훈부종점,208000096,9014,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Chunghunbu Bus Terminal ,126.8935167,37.4093833
안양시,41170,대림.LG.힐스테이트아파트(중),208000094,9054,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,"Daelim, LG, Hillstate Apartment ",126.90375,37.4313667
안양시,41170,석수체육공원.자동차학원,208000093,9059,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,"Seoksu Sports Park, Driving Schoo",126.9057333,37.4226333
안양시,41170,관악역,208000092,9078,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Gwanak Station ,126.9086833,37.4188333
안양시,41170,석수현대아파트,208000091,9077,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Seoksu Hyundai Apartment ,126.9086167,37.41755
안양시,41170,석수시장.석수현대아파트,208000090,9073,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,"Seoksu Market, Seoksu Hyundai Apartment ",126.9082333,37.4143333
안양시,41170,안양대교,208000089,9098,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,Anyangdaegyo Bridge,126.9111833,37.4108667
안양시,41170,박석교.삼정빌라,208000088,9071,노변정류장,경기도 안양시,경기도 안양시 만안구 박달동,Bakseokgyo Bridge ,126.9081667,37.4062167
안양시,41170,농림축산검역본부,208000087,9171,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,Animal and Plant Quarantine Agency ,126.92875,37.38975
안양시,41170,만안구청,208000086,9179,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,Manan-gu Office ,126.9310833,37.3869
안양시,41170,성결대학.안양아트센터.명학역,208000085,9189,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,"Sungkyul University, Anyang Arts Center/ Myeonghak Station",126.9332333,37.3843333
안양시,41170,명학대교.안양자동차매매단지,208000084,9209,노변정류장,경기도 안양시,,"Myeonghak-daegyo, Anyang Auto Trading Center",126.9390667,37.3833167
안양시,41170,명학초교,208000083,9202,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,Myeonghak Elementary School,126.9356167,37.3816333
안양시,41170,미도아파트.메트로병원,208000082,9208,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,Mido Apartment,126.9388667,37.3784667
포천시,41650,산림생산기술연구소,236001304,40216,노변정류장,경기도 포천시,경기도 포천시 소흘읍,Korea Forest Research Institute,127.1696667,37.7591
포천시,41650,직동1리.새말,236000688,40215,노변정류장,경기도 포천시,경기도 포천시 소흘읍,"Jikdong 1-ri, Saemal",127.1694333,37.7638333
가평군,41820,비행장,239000573,44139,노변정류장,경기도 가평군,경기도 가평군 가평읍,Airfield,127.5088,37.8369667
가평군,41820,가평군농협,239000465,44148,노변정류장,경기도 가평군,경기도 가평군 가평읍,Gapyeong-gun Nonghyup,127.51415,37.8286833
가평군,41820,가평터미널,239000607,44151,노변정류장,경기도 가평군,경기도 가평군 가평읍,Gapyeong Terminal ,127.5154333,37.8244333
가평군,41820,하색리,239000236,44128,노변정류장,경기도 가평군,경기도 가평군 가평읍,Hasaek-ri,127.4979833,37.81175
