연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"124",37.3361480000,127.1184690000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-21.jpeg,""
"125",37.3361010000,127.1183920000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-22.jpeg,""
"126",37.3359950000,127.1182170000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-23.jpeg,""
"127",37.3358850000,127.1180420000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-24.jpeg,""
"128",37.3732560000,127.1209790000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-A-01.jpeg,""
"129",37.3721610000,127.1221880000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-A-02.jpeg,""
"130",37.3733920000,127.1223430000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-A-03.jpeg,""
"131",37.3730580000,127.1227040000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-A-04.jpeg,""
"132",37.4085430000,127.1290260000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-A-01.jpeg,""
"133",37.4085480000,127.1292330000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-A-02.jpeg,""
"134",37.4088560000,127.1294870000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-A-03.jpeg,""
"135",37.4094710000,127.1294910000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-A-04.jpeg,""
"136",37.4097480000,127.1296780000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-A-05.jpeg,""
"137",37.4097380000,127.1298360000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-A-06.jpeg,""
"138",37.4099770000,127.1301390000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-A-07.jpeg,""
"139",37.4096790000,127.1306490000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-A-08.jpeg,""
"140",37.4096680000,127.1307510000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-A-09.jpeg,""
"141",37.4096850000,127.1294960000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-A-10.jpeg,""
"142",37.3496210000,127.1159070000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-01.jpeg,""
"143",37.3495420000,127.1159070000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-02.jpeg,""
"144",37.3489090000,127.1160780000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-03.jpeg,""
"145",37.3487610000,127.1159090000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-04.jpeg,""
"146",37.3484590000,127.1159090000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-05.jpeg,""
"147",37.3483170000,127.1159090000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-06.jpeg,""
"148",37.3481210000,127.1160780000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-07.jpeg,""
"149",37.3480880000,127.1159090000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-08.jpeg,""
"150",37.3474260000,127.1159090000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-09.jpeg,""
"151",37.3468250000,127.1159110000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-10.jpeg,""
"152",37.3466170000,127.1168430000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-A-11.jpeg,""
"153",37.3711720000,127.1118340000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-01.jpeg,""
"154",37.3713260000,127.1119050000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-02.jpeg,""
"155",37.3714740000,127.1119080000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-03.jpeg,""
"156",37.3716950000,127.1119430000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-04.jpeg,""
"157",37.3717810000,127.1122140000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-05.jpeg,""
"158",37.3717310000,127.1120810000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-06.jpeg,""
"159",37.3738410000,127.1125530000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-07.jpeg,""
"160",37.3737460000,127.1126650000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-08.jpeg,""
"161",37.3736380000,127.1125240000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-09.jpeg,""
"162",37.3735660000,127.1124220000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-10.jpeg,""
"163",37.3734990000,127.1123320000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-11.jpeg,""
"164",37.3735650000,127.1121660000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-12.jpeg,""
"165",37.3732250000,127.1116820000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-13.jpeg,""
"166",37.3732970000,127.1120440000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-14.jpeg,""
"167",37.3732230000,127.1119480000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-15.jpeg,""
"168",37.3731510000,127.1118490000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-16.jpeg,""
"169",37.3729210000,127.1115270000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-17.jpeg,""
"170",37.3729310000,127.1112810000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-18.jpeg,""
"171",37.3728060000,127.1113640000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-19.jpeg,""
"172",37.3725830000,127.1108010000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-20.jpeg,""
"173",37.3725450000,127.1109980000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-A-21.jpeg,""
"174",37.3800660000,127.1289360000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-A-01.jpeg,""
"175",37.3798310000,127.1291960000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-A-02.jpeg,""
"176",37.3795070000,127.1295510000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-A-03.jpeg,""
