image,p_wide,p_narrow,p_barrier_yes,p_barrier_no
경기도_수원시_영통구_매탄동(원천한국2차아파트_부근)_01.png,0.5137831,0.4915293,0.097794205,0.9065318
경기도_수원시_장안구_영화동(영복사거리_부근)_01.png,0.87413776,0.13056898,0.35757077,0.64840937
경기도_수원시_장안구_영화동(화홍초교_부근)_01.png,0.28120828,0.7226882,0.07327494,0.9274078
경기도_수원시_장안구_영화동(화홍초교_부근)_02.png,0.03446129,0.96616113,0.017583936,0.98245645
경기도_수원시_장안구_영화동(화홍초교_부근)_03.png,0.8067034,0.19386327,0.50716835,0.49255586
경기도_수원시_장안구_정자동(동신아파트_부근)_01.png,0.18186662,0.8257699,0.12547162,0.87154615
경기도_수원시_장안구_정자동(효천초교사거리_부근)_01.png,0.97638166,0.023692936,0.9221791,0.07720378
경기도_수원시_장안구_조원동(이천산업_부근)_01.png,0.20729667,0.7941093,0.059153676,0.9416605
경기도_수원시_장안구_조원동(천연화장품_부근)_01.png,0.11249727,0.8891332,0.06453329,0.93573433
경기도_수원시_장안구_천천동(천천초교_부근)_01.png,0.98342866,0.016597062,0.89977324,0.100845546
경기도_수원시_팔달구_화서동(화서오거리_부근)_01.png,0.986144,0.013837218,0.47376555,0.51793605
경기도_시흥시_거모동(도일삼거리_부근)_01.png,0.32338402,0.67533517,0.10562664,0.8945315
경기도_시흥시_거모동(도일삼거리_부근)_02.png,0.09784517,0.9033475,0.030046254,0.9703977
경기도_시흥시_거모동(도일삼거리_부근)_03.png,0.034840703,0.9649347,0.012722671,0.98736966
경기도_시흥시_거모동(알곡감리교회_부근)_01.png,0.010550827,0.9894314,0.016147107,0.9842148
경기도_시흥시_거모동(훼미리마트(시흥늘푸른점)_부근)_01.png,0.25733986,0.74263847,0.008181244,0.99161625
경기도_시흥시_대야동(대야오거리_부근)_01.png,0.72384524,0.28030887,0.3808767,0.61463815
경기도_시흥시_대야동(우성아파트_부근)_01.png,0.9012722,0.100574166,0.5897007,0.41661587
경기도_시흥시_신천동(동완하이츠맨션_부근)_01.png,0.0076403916,0.9922069,0.012387812,0.98735154
경기도_시흥시_신천동(동진아파트_부근)_01.png,0.10599762,0.8952522,0.034849077,0.9648715
경기도_시흥시_신천동(시흥대로1049_부근)_01.png,0.84734476,0.15395251,0.45988652,0.53322685
경기도_시흥시_신천동(신천사거리_부근)_01.png,0.9813899,0.018540025,0.36760795,0.631787
경기도_시흥시_신천동(진영유치원_부근)_01.png,0.021770358,0.97847545,0.013253182,0.98699033
경기도_시흥시_월곶동(경민건설(주)_부근)_01.png,0.40422237,0.6004858,0.38211212,0.6178412
경기도_시흥시_은행동(사랑별어린이집_부근)_01.png,0.88453054,0.11423391,0.18391538,0.8145
경기도_시흥시_은행동(은계_제3공영주차장_부근)_01.png,0.9400667,0.060554326,0.5311603,0.46394202
경기도_시흥시_장곡동(숲속마을1단지_부근)_01.png,0.12842038,0.87339175,0.2769764,0.72346205
경기도_시흥시_장곡동(진말로9번길_부근)_01.png,0.43308413,0.57069516,0.07271135,0.92830694
