연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"160",37.4198720000,127.1324490000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-08.jpeg,""
"161",37.4198270000,127.1324490000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-09.jpeg,""
"162",37.4197820000,127.1324520000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-10.jpeg,""
"163",37.4194330000,127.1324710000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-11.jpeg,""
"164",37.4191470000,127.1324480000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-12.jpeg,""
"165",37.4188710000,127.1324440000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-13.jpeg,""
"166",37.4188760000,127.1326250000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-14.jpeg,""
"167",37.4188640000,127.1338030000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-15.jpeg,""
"168",37.4185730000,127.1361890000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-16.jpeg,""
"169",37.4183830000,127.1361660000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-17.jpeg,""
"170",37.4188320000,127.1349390000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-18.jpeg,""
"171",37.4186790000,127.1341110000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-19.jpeg,""
"172",37.4186740000,127.1337860000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-20.jpeg,""
"173",37.4186920000,127.1325490000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-21.jpeg,""
"174",37.4186920000,127.1321840000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-22.jpeg,""
"175",37.4186920000,127.1318930000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-23.jpeg,""
"176",37.4186930000,127.1311420000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-24.jpeg,""
