보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,경도,위도,데이터기준일자
5,경기도,광명시,소하동,0005-R-0001,서면초등학교,광명경찰서,126.881141435,37.439163809,2021-11-26
39,경기도,광명시,일직동,0039-R-0003,빛가온유치원,광명경찰서,126.888520844,37.417066858,2021-11-26
25,경기도,광명시,일직동,0025-R-0010,빛가온초등학교,광명경찰서,126.880869731,37.415081159,2021-11-26
39,경기도,광명시,일직동,0039-R-0004,빛가온유치원,광명경찰서,126.888990651,37.417888781,2021-11-26
5,경기도,광명시,소하동,0005-R-0002,서면초등학교,광명경찰서,126.87960007,37.436940113,2021-11-26
5,경기도,광명시,소하동,0005-R-0003,서면초등학교,광명경찰서,126.879690372,37.437447798,2021-11-26
5,경기도,광명시,소하동,0005-R-0004,서면초등학교,광명경찰서,126.879438243,37.438074036,2021-11-26
25,경기도,광명시,일직동,0025-R-0011,빛가온초등학교,광명경찰서,126.881503483,37.413290248,2021-11-26
41,경기도,광명시,소하동,0041-R-0001,트인아이유치원,광명경찰서,126.885779701,37.434950662,2021-11-26
25,경기도,광명시,일직동,0025-R-0012,빛가온초등학교,광명경찰서,126.881195301,37.411658952,2021-11-26
25,경기도,광명시,일직동,0025-R-0013,빛가온초등학교,광명경찰서,126.881822832,37.411144546,2021-11-26

