보호구역 아이디,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,관리번호,횡단보도종류,자전거횡단도겸용여부,고원식 적용여부,경도,위도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관 전화번호,데이터기준일자
46,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,0046-W-0003,1,N,N,126.86432205,37.474084435,2,4,9,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
46,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,0046-W-0004,1,N,N,126.864201089,37.474972138,2,4,9,N,N,N,70,90,N,Y,N,Y,광명경찰서,182,2021-10-14
46,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,0046-W-0005,1,N,N,126.864138057,37.474993606,2,4,9,N,N,N,70,90,N,Y,N,Y,광명경찰서,182,2021-10-14
46,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,0046-W-0006,1,N,N,126.864151319,37.475040828,2,4,9,N,N,N,70,90,N,Y,N,Y,광명경찰서,182,2021-10-14
46,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,0046-W-0007,1,N,N,126.864203703,37.47502602,2,4,9,N,N,N,70,90,N,Y,N,Y,광명경찰서,182,2021-10-14
4,경기도,광명시,오리로,경기도 광명시 오리로 841번길 9,경기도 광명시 철산동 498,0004-W-0002,4,N,N,126.86729442,37.473650818,6,7,20,Y,N,Y,70,90,Y,Y,Y,Y,광명경찰서,182,2021-10-14
4,경기도,광명시,오리로,경기도 광명시 오리로 841번길 9,경기도 광명시 철산동 498,0004-W-0004,4,N,N,126.867425186,37.473322716,6,7,20,Y,N,Y,70,90,Y,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0015,1,N,N,126.868062108,37.471649014,4,9,28,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0014,1,N,N,126.867890779,37.471466071,4,6,14,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0016,1,N,N,126.868151196,37.471403693,4,9,28,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0019,1,N,N,126.868584502,37.47022179,6,5,25,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0018,1,Y,N,126.868393298,37.470047184,5,5,20,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
