보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,위도,경도,데이터기준일자
6,경기도,광명시,노온사동,0006-S-0005,온신초등학교,광명경찰서,126.845512877,37.442735897,2021-11-23
6,경기도,광명시,노온사동,0006-S-0006,온신초등학교,광명경찰서,126.845521071,37.442749616,2021-11-23
6,경기도,광명시,노온사동,0006-S-0007,온신초등학교,광명경찰서,126.845062871,37.442750208,2021-11-23
6,경기도,광명시,노온사동,0006-S-0008,온신초등학교,광명경찰서,126.84552439,37.443316698,2021-11-23
6,경기도,광명시,노온사동,0006-S-0009,온신초등학교,광명경찰서,126.845562088,37.443886507,2021-11-23
27,경기도,광명시,철산동,0027-S-0001,예지유치원,광명경찰서,126.867944281,37.490684968,2021-10-08
27,경기도,광명시,철산동,0027-S-0002,예지유치원,광명경찰서,126.868209051,37.490692489,2021-10-08
27,경기도,광명시,철산동,0027-S-0003,예지유치원,광명경찰서,126.868615501,37.490574444,2021-10-08
27,경기도,광명시,철산동,0027-S-0004,예지유치원,광명경찰서,126.868919919,37.490725072,2021-10-08
27,경기도,광명시,철산동,0027-S-0005,예지유치원,광명경찰서,126.867644051,37.490217865,2021-10-08
27,경기도,광명시,철산동,0027-S-0006,예지유치원,광명경찰서,126.867401968,37.489688688,2021-10-08
27,경기도,광명시,철산동,0027-S-0007,예지유치원,광명경찰서,126.867210227,37.489408124,2021-10-08
14,경기도,광명시,철산동,0014-S-0001,광명북초등학교,광명경찰서,126.867157115,37.48854506,2021-10-08
14,경기도,광명시,철산동,0014-S-0002,광명북초등학교,광명경찰서,126.86935526,37.488081001,2021-10-08
14,경기도,광명시,철산동,0014-S-0003,광명북초등학교,광명경찰서,126.868940233,37.487729143,2021-10-08
14,경기도,광명시,철산동,0014-S-0004,광명북초등학교,광명경찰서,126.866478505,37.486777209,2021-10-08
14,경기도,광명시,철산동,0014-S-0005,광명북초등학교,광명경찰서,126.866666197,37.486692601,2021-10-08
14,경기도,광명시,철산동,0014-S-0006,광명북초등학교,광명경찰서,126.868991621,37.485877294,2021-10-08
14,경기도,광명시,철산동,0014-S-0007,광명북초등학교,광명경찰서,126.869037133,37.48593793,2021-10-08
9,경기도,광명시,철산동,0009-S-0001,광성초등학교,광명경찰서,126.873075373,37.4778208,2021-10-08
9,경기도,광명시,철산동,0009-S-0002,광성초등학교,광명경찰서,126.873334268,37.477570656,2021-10-08
9,경기도,광명시,철산동,0009-S-0003,광성초등학교,광명경찰서,126.871652578,37.477035686,2021-10-08
9,경기도,광명시,철산동,0009-S-0004,광성초등학교,광명경찰서,126.87151012,37.477358656,2021-10-08
9,경기도,광명시,철산동,0009-S-0005,광성초등학교,광명경찰서,126.872502801,37.477747481,2021-10-08
9,경기도,광명시,철산동,0009-S-0006,광성초등학교,광명경찰서,126.872029658,37.478809242,2021-10-08
9,경기도,광명시,철산동,0009-S-0007,광성초등학교,광명경찰서,126.871887674,37.478853518,2021-10-08
40,경기도,광명시,철산동,0040-S-0001,삼흥유치원,광명경찰서,126.869086193,37.477428698,2021-10-08
40,경기도,광명시,철산동,0040-S-0002,삼흥유치원,광명경찰서,126.868573872,37.47768259,2021-10-08
40,경기도,광명시,철산동,0040-S-0003,삼흥유치원,광명경찰서,126.868872522,37.477892953,2021-10-08
40,경기도,광명시,철산동,0040-S-0004,삼흥유치원,광명경찰서,126.868720536,37.477860472,2021-10-08
15,경기도,광명시,철산동,0015-S-0001,철산초등학교,광명경찰서,126.872759937,37.472295633,2021-10-08
15,경기도,광명시,철산동,0015-S-0003,철산초등학교,광명경찰서,126.872336914,37.470728019,2021-10-08
15,경기도,광명시,철산동,0015-S-0002,철산초등학교,광명경찰서,126.872427678,37.470994695,2021-10-08
15,경기도,광명시,철산동,0015-S-0004,철산초등학교,광명경찰서,126.870736215,37.470338529,2021-10-08
15,경기도,광명시,철산동,0015-S-0005,철산초등학교,광명경찰서,126.870685261,37.470500035,2021-10-08
15,경기도,광명시,철산동,0015-S-0007,철산초등학교,광명경찰서,126.873930634,37.469247393,2021-10-08
15,경기도,광명시,철산동,0015-S-0008,철산초등학교,광명경찰서,126.874244658,37.469344665,2021-10-08
15,경기도,광명시,철산동,0015-S-0009,철산초등학교,광명경찰서,126.874600275,37.468811886,2021-10-08
19,경기도,광명시,하안동,0019-S-0001,하일초등학교,광명경찰서,126.875249262,37.468602541,2021-10-08
19,경기도,광명시,하안동,0019-S-0002,하일초등학교,광명경찰서,126.875765636,37.468910055,2021-10-08
19,경기도,광명시,하안동,0019-S-0003,하일초등학교,광명경찰서,126.876160048,37.469427469,2021-10-08
19,경기도,광명시,하안동,0019-S-0004,하일초등학교,광명경찰서,126.877213116,37.47002635,2021-10-08
35,경기도,광명시,하안동,0035-S-0001,한마음유치원,광명경찰서,126.875037544,37.467931832,2021-10-08
35,경기도,광명시,하안동,0035-S-0002,한마음유치원,광명경찰서,126.875464687,37.467397256,2021-10-08
35,경기도,광명시,하안동,0035-S-0003,한마음유치원,광명경찰서,126.876235208,37.466870818,2021-10-08
35,경기도,광명시,하안동,0035-S-0004,한마음유치원,광명경찰서,126.876662186,37.46606749,2021-10-08
35,경기도,광명시,하안동,0035-S-0005,한마음유치원,광명경찰서,126.876819133,37.466152474,2021-10-08
32,경기도,광명시,하안동,0032-S-0001,혜성유치원,광명경찰서,126.877427835,37.465943572,2021-10-08
32,경기도,광명시,하안동,0032-S-0002,혜성유치원,광명경찰서,126.880811132,37.467787334,2021-10-08
32,경기도,광명시,하안동,0032-S-0003,혜성유치원,광명경찰서,126.880955653,37.467649457,2021-10-08
32,경기도,광명시,하안동,0032-S-0004,혜성유치원,광명경찰서,126.878946812,37.466782179,2021-10-08
32,경기도,광명시,하안동,0032-S-0005,혜성유치원,광명경찰서,126.878245181,37.466159119,2021-10-08
15,경기도,광명시,철산동,0015-S-0006,철산초등학교,광명경찰서,126.873290349,37.470205703,2021-10-08
15,경기도,광명시,철산동,0015-S-0010,철산초등학교,광명경찰서,126.872021926,37.467552144,2021-10-08
44,경기도,광명시,철산동,0044-S-0001,철산어린이집,광명경찰서,126.861835333,37.481547255,2021-11-15
44,경기도,광명시,철산동,0044-S-0002,철산어린이집,광명경찰서,126.861997408,37.481874469,2021-11-15
44,경기도,광명시,철산동,0044-S-0003,철산어린이집,광명경찰서,126.862849547,37.482733044,2021-11-15
16,경기도,광명시,철산동,0016-S-0001,광명동초등학교,광명경찰서,126.86378204,37.483052472,2021-11-15
16,경기도,광명시,철산동,0016-S-0002,광명동초등학교,광명경찰서,126.863931621,37.483181981,2021-11-15
16,경기도,광명시,철산동,0016-S-0003,광명동초등학교,광명경찰서,126.864594086,37.482751618,2021-11-15
16,경기도,광명시,철산동,0016-S-0005,광명동초등학교,광명경찰서,126.864034518,37.483812205,2021-11-15
16,경기도,광명시,철산동,0016-S-0006,광명동초등학교,광명경찰서,126.864340886,37.484691388,2021-11-15
16,경기도,광명시,철산동,0016-S-0004,광명동초등학교,광명경찰서,126.864556592,37.482681373,2021-11-24
24,경기도,광명시,소하동,0024-S-0001,충현초등학교,광명경찰서,126.884529005,37.433600556,2021-11-26
24,경기도,광명시,소하동,0024-S-0002,충현초등학교,광명경찰서,126.88494222,37.435511923,2021-11-26
42,경기도,광명시,소하동,0042-S-0001,트인아이유치원,광명경찰서,126.885564838,37.434997597,2021-11-26
42,경기도,광명시,소하동,0042-S-0002,트인아이유치원,광명경찰서,126.886382651,37.435086115,2021-11-26
