시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,경기도 양평군 용문초등학교,경기도 양평군 용문면 용문로 837,경기도 양평군 용문면 광탄리 154,37.5098430507,127.6328250834,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 다문초등학교,경기도 양평군 용문면 다문중앙2길 27,경기도 양평군 용문면 다문리 626,37.4858546613,127.5915311094,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 개군초등학교,경기도 양평군 개군면 자진개1길 23,경기도 양평군 개군면 하자포리 276-1,37.4279539797,127.5343726287,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 고송분교,경기도 양평군 양동면 고송길 32-16,경기도 양평군 양동면 고송리 821-1,37.4864109587,127.7005221459,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,옥정초등학교,경기도 양주시 옥정로 5길 42-9,경기도 양주시 옥정동 956,37.823341,127.0884162,경기도 양주시,양주경찰서,Y,1,,2025-12-12
유치원,우정유치원,경기도 양주시 청담로13번길 38-4,경기도 양주시 고읍동 408-4,37.803587,127.0711646,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,유니어린이집,경기도 양주시 부흥로 1907번길 117,경기도 양주시 광사동 264-7,37.79780501,127.0735026,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,유양초등학교,경기도 양주시 부흥로 1373-7,경기도 양주시 유양동 511-1,37.78606274,127.0272166,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,율정초등학교,경기도 양주시 옥정동로245-41,경기도 양주시 옥정동 1028,37.82806456,127.096064,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,은현초등학교,경기도 양주시 은현면 화합로 912-20,경기도 양주시 은현면 선암리 553-2,37.86433427,127.022747,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,이튼스쿨어린이집,경기도 양주시 평화로1435번길 45,경기도 양주시 덕계동 671-1,37.820813,127.045179,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,자연사랑어린이집,경기도 양주시 청담로84번길 231-232,경기도 양주시 옥정동 465-1,37.8089226,127.0846106,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,자연유아어린이집,경기도 양주시 부흥로 1571번길 3,경기도 양주시 마전동 106-3,37.782425,127.049533,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,주원초등학교,경기도 양주시 고암길 242,경기도 양주시 고암동 580-5,37.83553749,127.0728948,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,중앙어린이집,경기도 양주시 평화로1454번길 34,경기도 양주시 덕계동 425-1,37.81933611,127.049306,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,천보초등학교,경기도 양주시 옥정동로9가길31-15,경기도 양주시 율정동 543-1,37.83355046,127.0949715,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,칠봉초등학교,경기도 양주시 회정로156,경기도 양주시 고암동 121,37.83808694,127.070397,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,캐슬아이어린이집,경기도 양주시 고삼로90,경기도 양주시 만송동 219-1,37.7973766,127.0932402,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,키즈웰어린이집,경기도 양주시 부흥로 2090,경기도 양주시 삼숭동 630-6,37.804737,127.0868542,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,키즈팜어린이집,경기도 양주시 만송로 417-17,경기도 양주시 만송동 14,37.7951121,127.0992322,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,푸른옥어린이집,경기도 양주시 장흥면 권율로 53-1,경기도 양주시 장흥면 일영리 27-1,37.72115001,126.9448664,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,핑크블루어린이집,경기도 양주시 독바위로300번길 12,경기도 양주시 옥정동 804-5,37.81994802,127.0774906,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,동방 어린이집,경기도 안산시 상록구 본오로3안길 25-1,경기도 안산시 상록구 본오동 722-5,37.289827,126.866769,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,4,,2025-06-02
어린이집,동심 어린이집,경기도 안산시 상록구 시곡2길 1,경기도 안산시 상록구 사동 1335-10,37.294724,126.856061,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,5,,2025-06-02
어린이집,또래 어린이집,경기도 안산시 상록구 구룡로 67-1,경기도 안산시 상록구 일동 110-11,37.315237,126.871565,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,1,,2025-06-02
어린이집,리베 어린이집,경기도 안산시 상록구 삼태기2길 18,경기도 안산시 상록구 이동 683-1,37.308092,126.846353,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,5,,2025-06-02
유치원,세종유치원,경기도 시흥시 인선길 56,경기도 시흥시 장곡동 807,37.37757064,126.7824492,경기도 시흥시청,시흥경찰서,N,0,,2025-08-25
유치원,시냇가 푸른나무 유치원,경기도 안산시 상록구 이화3길 22-13,경기도 안산시 상록구 사동 1242-7,37.300106,126.857327,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,1,,2025-06-02
