순번(NO),구분(LAMP),일련번호(SER),위도(LATITUDE),경도(LONGITUDE)
436,2,불정로-20,37.37462361,127.1448619
437,2,새나리로-1,37.40422105,127.1570075
438,2,새나리로-2,37.40422105,127.1570075
439,2,새나리로-3,37.40462279,127.1577485
440,2,새나리로-4,37.4036612,127.1581094
441,2,새나리로-5,37.4036612,127.1581094
442,2,새나리로-6,37.4036612,127.1581094
443,2,새나리로-7,37.40182617,127.1598241
444,2,새나리로-8,37.40182617,127.1598241
445,2,새나리로-9,37.40182617,127.1598241
446,2,새나리로-10,37.4008534,127.1598801
447,2,새나리로-11,37.40033999,127.1599085
448,2,새나리로-12,37.40009664,127.1598999
449,2,새나리로-13,37.40371755,127.1622428
450,2,새나리로-14,37.40412764,127.1552804
451,2,새나리로-15,37.40385018,127.1555433
452,2,새나리로-16,37.4037127,127.1552172
453,2,새나리로-17,37.40442989,127.155966
454,2,새마을로-1,37.38444725,127.1488723
455,2,새마을로-2,37.38511558,127.1553804
456,2,새마을로-3,37.38542512,127.1495275
457,2,새마을로-4,37.38592742,127.1492056
458,2,새마을로-5,37.38400705,127.1490579
459,2,새마을로-6,37.38400705,127.1490579
460,2,새마을로-7,37.38544595,127.1312899
461,2,새마을로-8,37.38454296,127.1310293
462,2,새마을로-9,37.38511558,127.1553804
463,2,새마을로-10,37.38812904,127.1546578
464,2,새마을로-11,37.38758032,127.1547882
465,2,새마을로-12,37.3880766,127.1548843
466,2,새마을로-13,37.38412926,127.1373013
467,2,새마을로-14,37.38417562,127.1374814
468,2,새마을로-15,37.3843555,127.1374342
469,2,새마을로-16,37.3843555,127.1374342
470,2,새마을로-17,37.38451113,127.1377712
471,2,새마을로-18,37.38368176,127.1364821
472,2,새마을로-19,37.38380054,127.1367066
473,2,새마을로-20,37.38496247,127.1317133
474,2,새마을로-21,37.38446502,127.1314593
475,2,새마을로-22,37.38417034,127.1404739
476,2,새마을로-23,37.38511558,127.1553804
477,2,새마을로-24,37.3850299,127.140961
478,2,새마을로-25,37.38512648,127.1406098
479,2,새마을로-26,37.38505996,127.1401363
480,2,새마을로-27,37.38511558,127.1553804
481,2,새마을로-28,37.38511558,127.1553804
482,2,새마을로-29,37.38511558,127.1553804
483,2,새마을로-30,37.38511558,127.1553804
484,2,새마을로-31,37.38511558,127.1553804
485,2,새마을로-32,37.38511558,127.1553804
486,2,새마을로-33,37.38511558,127.1553804
487,2,새마을로-34,37.38511558,127.1553804
488,2,새마을로-35,37.38511558,127.1553804
489,2,새마을로-36,37.38511558,127.1553804
490,2,새마을로-37,37.38511558,127.1553804
491,2,새마을로-38,37.38511558,127.1553804
492,2,새마을로-39,37.38511558,127.1553804
493,2,새마을로-40,37.38511558,127.1553804
494,2,새마을로-41,37.38511558,127.1553804
495,2,새마을로-42,37.38511558,127.1553804
496,2,새마을로-43,37.38511558,127.1553804
497,2,새마을로-44,37.38511558,127.1553804
498,2,새마을로-45,37.38511558,127.1553804
499,2,새마을로-1,37.38485282,127.1451299
500,2,새마을로-2,37.38485282,127.1451299
501,2,새마을로-3,37.38485282,127.1451299
502,2,서판교로-1,37.39608494,127.0995554
503,2,서판교로-2,37.3956897,127.0997183
504,2,서판교로-3,37.39549491,127.0989865
505,2,서판교로-4,37.39599861,127.0988675
506,2,서판교로-5,37.3965973,127.0993912
507,2,서판교로-6,37.39669614,127.0981702
508,2,서판교로-7,37.39715308,127.0990118
509,2,서판교로-8,37.39693855,127.0980544
510,2,서판교로-9,37.3970054,127.0985505
511,2,서판교로-10,37.39642543,127.0993029
512,2,서판교로-11,37.39620171,127.098323
513,2,서판교로-12,37.39609385,127.0983581
514,2,서판교로-13,37.39635926,127.0988971
515,2,서판교로-14,37.39647579,127.0988166
516,2,서판교로-15,37.39759087,127.0985209
517,2,서판교로-16,37.39210776,127.0979202
518,2,서판교로-17,37.3972611,127.0978134
519,2,서판교로-18,37.39755741,127.0988602
520,2,서판교로-19,37.39725991,127.0988411
521,2,서판교로-20,37.39704606,127.097974
522,2,서판교로-21,37.39886685,127.0980539
523,2,서판교로-22,37.3981391,127.0983337
524,2,서판교로-23,37.39782477,127.0972871
525,2,서판교로-24,37.3976281,127.0974927
526,2,서판교로-25,37.398075,127.0981989
527,2,서판교로-26,37.39913011,127.0983105
528,2,서판교로-27,37.3995099,127.0984867
529,2,서판교로-28,37.39359339,127.1001386
530,2,서판교로-1,37.39820037,127.0980958
