보호구역아이디,관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로종류,규격여부,경도,위도,보차분리여부,연속형여부,설치년도,관리기관명,관리기관전화번호,데이터기준일자
17,0017-B-0002,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안2동 649,주공3단지아파트 앞,1,1,10,360,7,1,Y,126.875248097,37.462623334,Y,Y,,광명경찰서,182,2021-10-14
17,0017-B-0005,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안2동 649,하안초등학교 정문 전방 10m,1,1,10,360,7,1,Y,126.874879285,37.463082485,Y,Y,,광명경찰서,182,2021-10-14
45,0045-B-0002,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,구름산어린이집 정문 전방 20m,1,1,10,360,10,1,Y,126.864673993,37.46734507,Y,Y,,광명경찰서,182,2021-10-14
45,0045-B-0004,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,늘사랑침례교회 정문 앞,1,1,10,360,10,1,Y,126.864721156,37.46795811,Y,Y,,광명경찰서,182,2021-10-14
45,0045-B-0006,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,늘사랑침례교회 정문 앞,1,1,10,360,10,1,Y,126.864772157,37.468267161,Y,Y,,광명경찰서,182,2021-10-14
45,0045-B-0007,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,늘사랑침례교회 정문 앞,1,1,10,360,10,1,Y,126.864696709,37.468390377,Y,Y,,광명경찰서,182,2021-10-14
45,0045-B-0003,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,광명하안현대아파트 상가앞,1,1,10,360,10,1,Y,126.86481027,37.467462948,Y,Y,,광명경찰서,182,2021-10-14
45,0045-B-0008,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,구름산어린이집 정문 전방 20m,1,1,10,360,10,1,Y,126.865273756,37.468314406,Y,Y,,광명경찰서,182,2021-10-14
23,0023-B-0009,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,안현초 건너편 골목길,1,1,10,360,5,1,Y,126.866345393,37.470737505,Y,Y,,광명경찰서,182,2021-10-14
47,0047-B-0001,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 37,경기도 광명시 철산동 489-63,푸르지오아파트 정문 전방 10m,1,1,10,360,10,1,Y,126.866272633,37.471070534,Y,Y,,광명경찰서,182,2021-10-14
47,0047-B-0002,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 37,경기도 광명시 철산동 489-63,다나안아파트 옆쪽,1,1,10,360,10,1,Y,126.864996132,37.471102729,Y,Y,,광명경찰서,182,2021-10-14
26,0026-B-0008,경기도,광명시,가림로,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,솔바람어린이집 정문 전방 10m,1,1,10,360,10,1,Y,126.864471797,37.463429676,Y,Y,,광명경찰서,182,2021-10-14
25,0025-B-0001,경기도,광명시,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,빛가온중학교 정문 인근,1,1,10,360,7,1,Y,126.88328559,37.411928664,Y,Y,,광명경찰서,182,2021-11-26
25,0025-B-0002,경기도,광명시,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,빛가온초등학교 후문 인근,1,1,10,360,6,1,Y,126.881749834,37.411675566,Y,Y,,광명경찰서,182,2021-11-26
25,0025-B-0003,경기도,광명시,양달로,경기도 광명시 양달로10번길 8,경기도 광명시 일직동 377,빛가온초등학교 정문 인근,1,1,10,360,11,1,Y,126.881937608,37.413164412,Y,Y,,광명경찰서,182,2021-11-26
