,안전시설명,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
786,(분당)세븐일레븐 초림점,경기도 성남시 분당구 내정로165번길 50,경기도 성남시 분당구 수내동 33-1번지,37.3771093399,127.1154850154,S
787,(분당)한솥도시락 분당수내역점,경기도 성남시 분당구 내정로173번길 49,경기도 성남시 분당구 수내동 33-2번지,37.3773719103,127.1158451142,S
788,(분당)금호세탁소,,경기도 성남시 분당구 수내동 34번지 양지마을,37.3781530137,127.1176709351,S
789,(분당)경신바이크,,경기도 성남시 분당구 수내동 56번지 파크타운대림아파트,37.3730961063,127.1204185367,S
790,(분당)수내동우체국,경기도 성남시 분당구 내정로166번길 27,경기도 성남시 분당구 수내동 61번지,37.3716126517,127.1216118932,S
791,(분당)유정약국,,경기도 성남시 분당구 야탑동 165번지 목련마을아파트,37.4082997547,127.1392356593,S
792,(분당)파리바게트 상탑점,경기도 성남시 분당구 야탑로 253,경기도 성남시 분당구 야탑동 175-5번지,37.4069970005,127.1466091343,S
793,(분당)파리바게트 분당중탑점,경기도 성남시 분당구 벌말로 48,경기도 성남시 분당구 야탑동 272-1번지,37.4120661387,127.1387881899,S
794,(분당)한국야쿠르트 야탑점,경기도 성남시 분당구 야탑로161번길 16-8,경기도 성남시 분당구 야탑동 306-4번지,37.4109897136,127.1375503554,S
795,(분당)세븐일레븐 야탑엔즈빌점,경기도 성남시 분당구 장미로48번길 14,경기도 성남시 분당구 야탑동 342-3번지,37.4126557442,127.1254962336,S
796,(분당)탑마을 오렌지약국,경기도 성남시 분당구 야탑로69번길 21,경기도 성남시 분당구 야탑동 353-1번지,37.4116399237,127.1263601001,S
797,(분당)홈케어굿모닝약국,경기도 성남시 분당구 야탑로69번길 3,경기도 성남시 분당구 야탑동 354-6번지,37.410080569,127.126367845,S
