시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,교통섬유무,점자블록유무,집중조명시설유무
성남시 분당구,분당로,,경기도 성남시 분당구 분당동 195-7,분당-90,1,N,37.367474,127.140862,4,6.0,14.0,Y,N,Y,N
성남시 분당구,분당로,,경기도 성남시 분당구 분당동 173-1,분당-91,1,N,37.366078,127.142124,4,6.0,14.0,Y,N,Y,Y
성남시 분당구,분당로,,경기도 성남시 분당구 분당동 192-3,분당-92,1,N,37.367114,127.145571,4,6.0,14.0,Y,N,Y,N
성남시 분당구,분당로,,경기도 성남시 분당구 분당동 192-2,분당-93,1,N,37.368082,127.14698,4,6.0,14.0,Y,N,Y,N
성남시 분당구,수내로,,경기도 성남시 분당구 수내동 45,분당-94,1,N,37.384986,127.115393,11,8.0,35.0,Y,Y,Y,Y
성남시 분당구,수내로,,경기도 성남시 분당구 수내동 4-1,분당-95,1,N,37.381376,127.11655,8,8.0,26.0,Y,N,Y,N
성남시 분당구,수내로,,경기도 성남시 분당구 수내동 4-4,분당-96,1,N,37.380787,127.117141,6,8.0,20.0,Y,N,Y,Y
성남시 분당구,수내로,"경기도 성남시 분당구 내정로 186 (수내동, 파크타운대림아파트)",경기도 성남시 분당구 수내동 51,분당-97,1,N,37.373514,127.121887,8,8.0,26.0,Y,N,Y,Y
성남시 분당구,수내로,경기도 성남시 분당구 수내로192번길 12 (수내동),경기도 성남시 분당구 수내동 78,분당-98,1,N,37.370989,127.12619,6,8.0,20.0,Y,N,Y,Y
성남시 분당구,불정로,,경기도 성남시 분당구 서현동 306-2,분당-99,1,N,37.373978,127.136847,6,8.0,20.0,Y,N,Y,N
성남시 분당구,불정로,"경기도 성남시 분당구 불정로 361 (서현동, 효자촌삼환아파트)",경기도 성남시 분당구 서현동 301,분당-100,1,N,37.373813,127.13328,6,8.0,20.0,Y,N,Y,N
성남시 분당구,불정로,"경기도 성남시 분당구 예원로 7 (분당동, 동아빌라)",경기도 성남시 분당구 분당동 45,분당-101,1,N,37.371345,127.133568,7,8.0,23.0,Y,N,Y,N
성남시 분당구,불정로,"경기도 성남시 분당구 수내로 201 (분당동, 샛별마을삼부아파트)",경기도 성남시 분당구 분당동 39,분당-102,1,N,37.371469,127.129753,8,8.0,26.0,Y,N,Y,N
성남시 분당구,불정로,경기도 성남시 분당구 불정로 274 (수내동),경기도 성남시 분당구 수내동 86,분당-103,1,N,37.367687,127.128196,7,8.0,23.0,Y,N,Y,Y
성남시 분당구,불정로,,경기도 성남시 분당구 수내동 83-1,분당-104,1,N,37.36719,127.126749,7,8.0,23.0,Y,N,Y,N
성남시 분당구,불정로,경기도 성남시 분당구 불정로 253 (수내동),경기도 성남시 분당구 수내동 85,분당-105,1,N,37.366759,127.126269,7,8.0,23.0,Y,N,Y,N
성남시 분당구,불정로,경기도 성남시 분당구 발이봉남로4번길 12 (수내동),경기도 성남시 분당구 수내동 99,분당-106,1,N,37.364609,127.124797,7,8.0,23.0,Y,N,Y,N
성남시 분당구,불정로,"경기도 성남시 분당구 불정로 219 (정자동, 한솔마을청구아파트)",경기도 성남시 분당구 정자동 110,분당-107,1,N,37.364696,127.123339,7,8.0,23.0,Y,N,Y,N
