무인교통단속카메라관리번호,도로종류,도로노선번호,도로노선명,소재지지번주소,위도,경도,설치장소,설치연도
중원도촌-A-3,기타,,도촌남로,경기도 성남시 중원구 도촌동 693,37.413311,127.158665,도촌초등학교 앞 삼거리,2013
중원도촌-A-14,기타,,여수울로,경기도 성남시 중원구 여수동 577,37.41943,127.132461,여수초등학교 후문,2022
중원도촌-A-32,기타,,도촌남로,경기도 성남시 중원구 도촌동 506번지 도촌유치원,37.413898,127.149773,도촌유치원,2018
중원도촌-A-41,기타,,여수울로,경기도 성남시 중원구 여수동 577,37.41865,127.13404,여수초등학교 정문,2022
분당분당-A-20,기타,,장안로,경기도 성남시 분당구 분당동 91,37.372662,127.144459,장안초등학교 주변,2014
분당분당-A-21,기타,,분당로,경기도 성남시 분당구 분당동 36,37.373689,127.131262,당촌초등학교 주변,2014
분당수내1-D-1,기타,,황새울로,경기도 성남시 분당구 수내동 21-3,37.377771,127.111777,판테온부근,2010
분당수내1-D-2,기타,,황새울로,경기도 성남시 분당구 수내1동 12-1,37.379502,127.115041,재규어랜드로버 앞,2022
분당수내1-A-4,기타,,내정로,경기도 성남시 분당구 수내동 35,37.376826,127.117592,초림초등학교 후문,2012
분당수내1-A-27,기타,,내정로,경기도 성남시 분당구 수내1동 28-3,37.37406,127.11872,신한은행 앞,2021
분당수내2-D-1,기타,,내정로,경기도 성남시 분당구 수내동 53,37.371531,127.122101,돌고래재래시장앞,2008
분당수내2-D-2,기타,,내정로,경기도 성남시 분당구 수내동 55,37.371902,127.12017,동신파크 하나은행앞,2006
분당수내2-D-3,기타,,내정로,경기도 성남시 분당구 수내동 63-1,37.370357,127.122641,동신코아앞,2006
분당수내2-A-9,기타,,내정로,경기도 성남시 분당구 수내2동 57,37.37269,127.12148,내정초등학교 후문,2021
분당수내3-A-7,기타,,돌마로,경기도 성남시 분당구 수내동 81,37.367761,127.124663,수내초등학교 주변,2014
분당정자-D-1,기타,,황새울로,경기도 성남시 분당구 정자동 99-3,37.3719,127.1097,백현중학교,2023
분당정자-D-3,기타,,내정로,경기도 성남시 분당구 정자동 127-3,37.362136,127.114476,한솔프라자앞,2006
분당정자1-D-1,일반국도,3번,성남대로,경기도 성남시 분당구 정자동 15-2,37.370561,127.107512,두산위브파빌리온 앞,2008
분당정자1-D-2,일반국도,3번,성남대로,경기도 성남시 분당구 정자동 18-6,37.366811,127.108061,정자역프라자앞,2006
분당정자1-D-3,기타,,정자일로,경기도 성남시 분당구 정자동 16-2,37.36803,127.105521,대우푸르지오시티앞,2014
분당정자1-D-4,일반국도,3번,성남대로,경기도 성남시 분당구 정자동 156-1,37.365332,127.107705,젤존타워 Ⅱ앞,2006
분당정자1-D-5,일반국도,3번,성남대로,경기도 성남시 분당구 정자동 26,37.365752,127.107331,정자역 환승주차장,2014
분당정자1-D-6,기타,,정자일로,경기도 성남시 분당구 정자동 160,37.365305,127.10545,분당경찰서 주변,2014
