연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
155,37.371474,127.111908,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
156,37.371695,127.111943,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
157,37.371781,127.112214,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
158,37.371731,127.112081,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
159,37.373841,127.112553,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
160,37.373746,127.112665,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
161,37.373638,127.112524,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
162,37.373566,127.112422,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
163,37.373499,127.112332,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
164,37.373565,127.112166,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
165,37.373225,127.111682,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
166,37.373297,127.112044,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
167,37.373223,127.111948,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
168,37.373151,127.111849,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
169,37.372921,127.111527,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
170,37.372931,127.111281,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
171,37.372806,127.111364,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
172,37.372583,127.110801,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
173,37.372545,127.110998,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
174,37.380066,127.128936,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
175,37.379831,127.129196,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
176,37.379507,127.129551,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
177,37.379231,127.129968,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
178,37.379207,127.130355,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
179,37.378956,127.130498,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
180,37.378482,127.131221,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
181,37.378333,127.131399,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
182,37.378063,127.131705,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
183,37.418868,127.131004,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
184,37.418868,127.131871,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
185,37.418867,127.132357,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
186,37.419048,127.132361,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
187,37.419289,127.132361,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
188,37.419709,127.132361,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
189,37.419709,127.132441,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
190,37.419289,127.132441,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
191,37.418982,127.132442,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
192,37.418867,127.132447,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
193,37.418867,127.132645,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
194,37.418867,127.133295,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
195,37.418867,127.133783,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
196,37.418862,127.133933,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
197,37.418862,127.134099,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
198,37.418854,127.134529,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
199,37.418801,127.135139,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
