연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
264,37.436841,127.149085,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
265,37.436854,127.149131,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
266,37.436043,127.149657,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
267,37.436049,127.149708,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
268,37.436297,127.149499,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
269,37.436532,127.149302,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
270,37.436545,127.149341,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
271,37.437269,127.148798,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
272,37.437281,127.148843,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
273,37.437611,127.148979,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
274,37.437629,127.148968,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
275,37.437647,127.149507,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
276,37.437678,127.149491,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
277,37.438085,127.150517,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
